minifig_id,character
SW0266,Clone Pilot
SW0267,R4-P44
SW0268,TIE Fighter Pilot
SW0269,Barriss Offee
SW0270,Sentry Droid
SW0271,Sandtrooper
SW0272,Clone Trooper
SW0273,Luke Skywalker
SW0274,Obi-Wan Kenobi
SW0277,Darth Vader
SW0278,Han Solo
SW0279,Boba Fett
SW0280,Bossk
SW0281,Clone Pilot
SW0282,2-1B
SW0283,Darth Vader
SW0284,Aayla Secura
SW0285,Cad Bane
SW0286,Clone Trooper Commander
SW0287,Shahan Alama
SW0288,Captain Jayfon
SW0289,General Veers
SW0290,Han Solo
SW0291,Hoth Rebel Trooper
SW0295,Luke Skywalker
SW0296,Mandalorian Warrior
SW0297,Clone Trooper
SW0298,Clone Trooper
SW0299,Clone Trooper
SW0300,Battle Droid Pilot
SW0301,Jar-Jar Binks
SW0302,Gungan Warrior
SW0303,R2-Q2
SW0304,Imperial V-Wing Pilot
SW0305,Sugi
SW0306,Aurra Sing
SW0307,Embo
SW0308,Saesee Tiin
SW0309,Shaak Ti
SW0310,Luminara Unduli
SW0311,Spy Droid
SW0312,TX-20
SW0313,R8-B7
SW0314,Captain Rex
SW0316,Savage Opress
SW0317,Anakin Skywalker
SW0318,Asajj Ventress
SW0319,Ki-Adi-Mundi
SW0320,Geonosian
SW0321,Captain Panaka
SW0322,Qui-Gon Jinn
SW0323,Darth Maul
SW0324,Padmé Amidala
SW0325,Watto
SW0326,Sebulba
SW0327,Anakin Skywalker
SW0328,Wald
SW0329,Obi-Wan Kenobi
SW0330,Commander Wolffe
SW0331,Clone Trooper
SW0332,Eeth Koth
SW0333,Quinlan Vos
SW0334,Han Solo
SW0335,Luke Skywalker
SW0336,Obi-Wan Kenobi
SW0337,Princess Leia
SW0338,Logray
SW0339,Tokkat
SW0340,Naboo Fighter Pilot
SW0341,Commander Cody
SW0342,Luke Skywalker
SW0343,Han Solo
SW0344,R-3PO
SW0345,2-1B
SW0346,Princess Leia
SW0347,Battle Droid Security
SW0348,Droideka
SW0349,Anakin Skywalker
SW0359,Commando Droid
SW0360,Battle Droid Pilot
SW0361,Darth Vader
SW0362,Obi-Wan Kenobi
SW0363,Nute Gunray
SW0364,Sandtrooper
SW0365,C-3PO
SW0366,Stormtrooper
SW0367,Endor Rebel Trooper
SW0368,Endor Rebel Trooper
SW0369,Jon Vander
SW0370,R5-F7
SW0371,Princess Leia
SW0372,Jek Porkins
SW0373,R5-D8
SW0374,Death Star Trooper
SW0375,R5-J2
SW0376,Imperial Officer
SW0377,Clone Trooper
SW0378,Clone Trooper
SW0379,Barriss Offee
SW0380,Commander Gree
SW0381,Geonosian Warrior
SW0382,Geonosian Zombie
SW0383,Sandtrooper
SW0387,Padmé Amidala
SW0392,Even Piell
SW0393,R3-D5
SW0395,Luke Skywalker
SW0396,Boba Fett
SW0397,Kithaba
SW0398,Lando Calrissian
SW0402,Jabba the Hutt
SW0403,Han Solo
SW0404,Bib Fortuna
SW0405,Gamorrean Guard
SW0406,Oola
SW0407,Princess Leia
SW0408,Salacious B. Crumb
SW0409,Obi-Wan Kenobi
SW0410,Qui-Gon Jinn
SW0411,Padmé Amidala
SW0412,B'Omarr Monk
SW0415,Battle Droid Commander
SW0416,Pre Vizsla
SW0417,Mace Windu
SW0418,Palpatine
SW0419,Anakin Skywalker
SW0420,Saesee Tiin
SW0421,Agen Kolar
SW0422,Kit Fisto
SW0433,Luke Skywalker
SW0434,Malakili
SW0435,Pong Krell
SW0437,Rebel Pilot
SW0438,Clone Trooper Sergeant
SW0439,Clone Pilot
SW0441,Droideka
SW0442,Clone Trooper
SW0445,Clone Trooper
SW0446,Yoda
SW0447,Sniper Droideka
SW0448,Commando Droid Captain
SW0449,Obi-Wan Kenobi
SW0450,Captain Rex
SW0451,Han Solo
SW0452,Ahsoka Tano
SW0453,Clone Trooper
SW0454,Umbaran Soldier
SW0459,Imperial Probe Droid
SW0460,General Rieekan
SW0461,Luke Skywalker
SW0462,Hoth Rebel Trooper
SW0463,Snowtrooper
SW0467,Battle Droid
SW0468,Jango Fett
SW0469,Stass Allie
SW0471,Yoda
SW0472,Count Dooku
SW0473,FA-4 Pilot Droid
SW0474,Poggle the Lesser
SW0479,Mace Windu
SW0480,Coleman Trebor
SW0481,Clone Trooper Commander
SW0482,Battle Droid Commander
SW0483,Ree-Yees
SW0485,Princess Leia
SW0486,Max Rebo
SW0487,Weequay Skiff Guard
SW0488,Anakin Skywalker
SW0489,Obi-Wan Kenobi
SW0490,Padmé Amidala
SW0491,Clone Pilot
SW0492,Clone Trooper Captain
SW0493,Darth Maul
SW0494,Mandalorian Warrior
SW0495,Mandalorian Warrior
SW0496,Nikto Guard
SW0497,Cad Bane
SW0498,Obi-Wan Kenobi
SW0515,General Grievous
SW0518,Clone Trooper
SW0519,Clone Trooper
SW0520,Imperial Gunner
SW0521,Royal Guard
SW0522,Clone Trooper
SW0523,Clone Trooper
SW0524,Clone Trooper
SW0525,Clone Pilot
SW0526,Anakin Skywalker
SW0527,R2-D2
SW0528,Commander Gree
SW0529,Imperial Gunner
SW0530,Tarfful
SW0531,Clone Trooper
SW0532,Chewbacca
SW0533,Buzz Droid
SW0534,R4-P22
SW0535,Obi-Wan Kenobi
SW0536,Neimoidian Warrior
SW0537,Clone Trooper
SW0538,Plo Koon
SW0539,Han Solo
SW0540,Palpatine
SW0542,Anakin Skywalker
SW0548,Imperial Stormtrooper
SW0551,Luke Skywalker
SW0552,Obi-Wan Kenobi
SW0553,Greedo
SW0554,Bith Musician
SW0556,Ten Numb
SW0557,General Cracken
SW0558,Rebel Pilot
SW0560,Jawa
SW0565,C1-10P (Chopper)
SW0567,Dak Ralter
SW0568,Snowtrooper
SW0569,Luke Skywalker
SW0574,Ezra Bridger
SW0575,Zeb Orrelios
SW0576,Hera Syndulla
SW0577,Kanan Jarrus
SW0578,Stormtrooper
SW0579,General Veers
SW0580,Snowtrooper Commander
SW0581,AT-AT Driver
SW0582,Imperial Officer
SW0583,Imperial Navy Trooper
SW0584,Imperial Crew
SW0585,Stormtrooper
SW0586,Darth Vader
SW0590,Jawa
SW0591,PK-4 Droid
SW0592,Obi-Wan Kenobi
SW0593,Qui-Gon Jinn
SW0594,Naboo Security Guard
SW0600,Battle Droid Security
SW0602,Kanan Jarrus
SW0613,Senate Commando Captain
SW0614,Senate Commando
SW0615,Asajj Ventress
SW0616,Sabine Wren
SW0617,Stormtrooper
SW0619,T-16 Skyhopper Pilot
SW0620,Tusken Raider
SW0621,TIE Fighter Pilot
SW0622,Grand Inquisitor
SW0623,Cumberlayne Aresko
SW0624,AT-DP Pilot
SW0625,Agent Kallus
SW0626,Wullffwarro
SW0627,Wookiee Warrior
SW0628,Gungan Warrior
SW0629,Clone Trooper Lieutenant
SW0634,Palpatine
SW0635,Luke Skywalker
SW0636,Darth Vader
SW0638,Naboo Security Guard
SW0639,Captain Tarpals
SW0640,Anakin Skywalker
SW0641,Naboo Fighter Pilot
SW0642,Droideka
SW0643,Princess Leia
SW0644,Han Solo
SW0645,Endor Rebel Trooper
SW0646,Endor Rebel Trooper
SW0647,Agent Kallus
SW0648,Imperial Astromech Droid
SW0649,Watto
SW0650,Darth Maul
SW0651,Qui-Gon Jinn
SW0652,Dark Eye Probe Droid
SW0654,First Order Crew Member
SW0655,Unkar's Thug
SW0656,First Order Snowtrooper Officer
SW0657,First Order Snowtrooper
SW0658,Poe Dameron
SW0659,Resistance X-wing Pilot
SW0660,Goss Toowers
SW0661,BB-8
SW0662,General Hux
SW0663,Kylo Ren
SW0664,First Order Stormtrooper Officer
SW0665,First Order Officer
SW0666,First Order Flametrooper
SW0667,First Order Stormtrooper
SW0668,Resistance Trooper
SW0669,Resistance Trooper
SW0670,First Order Officer
SW0671,First Order Crew Member
SW0672,First Order TIE Fighter Pilot
SW0673,Kanjiklub Gang Member
SW0674,Tasu Leech
SW0675,Han Solo
SW0676,Finn
SW0677,Rey
SW0684,Captain Phasma
SW0694,First Order Crew Member
SW0695,First Order Stormtrooper
SW0696,Resistance Trooper
SW0697,Resistance Trooper
SW0698,Resistance Trooper
SW0699,Resistance Officer
SW0700,C-3PO
SW0702,Imperial Combat Driver
SW0703,Maz Kanata
SW0704,Obi-Wan Kenobi
SW0706,R4-P17
SW0707,Yoda
SW0708,Hoth Rebel Trooper
SW0709,Han Solo
SW0710,Ugnaught
SW0711,Boba Fett
SW0712,Imperial Probe Droid
SW0714,Han Solo
SW0717,Kylo Ren
SW0718,Princess Leia
SW0719,Admiral Ackbar
SW0720,Resistance Trooper
SW0721,Resistance Trooper
SW0723,Unkar's Brute
SW0737,Poe Dameron
SW0738,Lor San Tekka
SW0739,Unkar Plutt
SW0740,Teedo
SW0741,Grand Moff Tarkin
SW0742,Sabine Wren
SW0743,A-wing Pilot
SW0744,Darth Vader
SW0745,Luminara Unduli
SW0746,Quinlan Vos
SW0747,Fifth Brother
SW0748,Commander Gregor
SW0749,Captain Rex
SW0750,Commander Wolffe
SW0758,Commander Sato
SW0759,Ahsoka Tano
SW0762,Bespin Guard
SW0771,Han Solo
SW0778,Luke Skywalker
SW0780,Bistan
SW0781,Director Orson Krennic
SW0782,K-2SO
SW0783,Baze Malbus
SW0784,Rebel Trooper
SW0785,Imperial Ground Crew
SW0786,Rebel Trooper
SW0787,Shoretrooper
SW0788,TIE Fighter Pilot
SW0789,Chirrut Îmwe
SW0790,Cassian Andor
SW0791,Jyn Erso
SW0792,Rebel Trooper
SW0793,U-wing Pilot
SW0794,Bodhi Rook
SW0795,Imperial Hovertank Pilot
SW0796,Imperial Death Trooper
SW0797,AT-ST Driver
SW0798,Pao
SW0802,Imperial Shuttle Pilot
SW0803,Rebel Trooper
SW0804,Rebel Trooper
SW0805,Rebel Trooper
SW0806,Rebel Trooper
SW0807,Imperial Death Trooper
SW0808,Darth Maul
SW0809,R3-S1
SW0810,Qui-Gon Jinn
SW0811,Grand Admiral Thrawn
SW0812,Obi-Wan Kenobi
SW0813,Cassian Andor
SW0814,Jyn Erso
SW0815,Shoretrooper
SW0816,Admiral Raddus
SW0817,Kanan Jarrus
SW0818,Lando Calrissian
SW0819,A-wing Pilot
SW0820,Rebel Engineer
SW0821,Weequay Skiff Guard
SW0822,Boba Fett
SW0823,Han Solo
SW0824,Moroff
SW0829,Darth Vader
SW0830,4-LOM
SW0831,IG-88
SW0832,First Order Officer
SW0833,Aayla Secura
SW0834,Darth Vader
SW0835,DD-13 Medical Assistant Droid
SW0836,FX-6 Medical Assistant Droid
SW0837,Clone Trooper Gunner
SW0838,Prowler 1000 Exploration Droid
SW0839,Guavian Security Soldier
SW0840,Bala-Tik
SW0841,Han Solo
SW0842,First Order Stormtrooper
SW0844,Boba Fett
SW0845,Jango Fett
SW0846,Obi-Wan Kenobi
SW0853,Resistance Trooper
SW0854,General Hux
SW0855,BB-9E
SW0856,Supreme Leader Snoke
SW0857,Rose Tico
SW0858,Finn
SW0859,Kylo Ren
SW0860,First Order TIE Fighter Pilot
SW0861,Resistance Bomber Pilot
SW0862,Resistance Bombardier
SW0863,Vice Admiral Holdo
SW0864,Paige Tico
SW0865,Poe Dameron
SW0866,Rey
SW0867,Resistance Trooper
SW0868,Poe Dameron
SW0869,AT-M6 Driver
SW0870,First Order Officer
SW0871,First Order Shuttle Pilot
SW0872,First Order Stormtrooper Officer
SW0873,IT-000 Interrogator Droid
SW0885,Kylo Ren
SW0886,First Order Stormtrooper Executioner
SW0887,Luke Skywalker
SW0888,Rey
SW0889,Mace Windu
SW0890,Poe Dameron
SW0891,General Ematt
SW0892,Resistance Trooper
SW0893,Wuher
SW0894,Sandtrooper
SW0895,R3-T2
SW0896,Jawa
SW0897,Jawa
SW0898,Greedo
SW0900,Finn
SW0901,Rose Tico
SW0902,First Order TIE Fighter Pilot
SW0904,Captain Phasma
SW0905,First Order Stormtrooper
SW0906,Yoda
SW0907,Luke Skywalker
SW0908,R2-D2
SW0909,Barriss Offee
SW0910,Clone Trooper
SW0911,Ki-Adi-Mundi
SW0912,Imperial Emigration Officer
SW0913,Imperial Recruitment Officer
SW0914,Imperial Patrol Trooper
SW0915,Han Solo
SW0916,Qi'ra
SW0917,Moloch
SW0918,Rebolt
SW0919,Tobias Beckett
SW0920,Qi'ra
SW0921,Han Solo
SW0922,Chewbacca
SW0923,Lando Calrissian
SW0924,Quay Tolsite
SW0925,Han Solo
SW0926,TIE Fighter Pilot
SW0927,Mimban Stormtrooper
SW0928,DD-BD
SW0929,Kessel Operations Droid
SW0931,Poe Dameron
SW0936,2-1B
SW0937,R5-A2
SW0938,RA-7 Protocol Droid
SW0939,Anakin Skywalker
SW0940,Enfys Nest
SW0941,Tobias Beckett
SW0942,Weazel
SW0943,R2-Q2
SW0944,Biggs Darklighter
SW0945,Dryden's Enforcer
SW0946,Qi'ra
SW0947,Elite Praetorian Guard
SW0948,Chewbacca
SW0949,Han Solo
SW0950,Range Trooper
SW0951,Imperial Gunner
SW0952,Luke Skywalker
SW0953,Val
SW0954,Dryden's Enforcer
SW0955,Rio Durant
SW0956,2-1B
SW0957,Luke Skywalker
SW0958,Princess Leia
